Provinsi,NEET_15-24_persen,APS_7-12_persen,APS_13-15_persen,APS_16-18_persen,APS_19-23_persen,Gini_Ratio_Sept2024,Jumlah_Sekolah_SMA,Jumlah_Guru_SMA,Jumlah_Murid_SMA,Jumlah_Sekolah_SMP,Jumlah_Guru_SMP,Jumlah_Murid_SMP,Jumlah_Tenaga_Kesehatan,Laju_Pertumbuhan_Ekonomi,Migrasi_Masuk_persen,Persen_Penduduk_Perkotaan_2025,Tingkat_Kemiskinan_persen,Akses_Sanitasi_Layak_persen,Akses_Internet_RT_persen,Jumlah_Penduduk_2025,PDRB_per_Kapita,Rata_Rata_Lama_Sekolah,Realisasi_Investasi_Proyek_PMA,Realisasi_Investasi_Nilai_PMA,TPT_Feb2025_persen,UMP_2020
ACEH,28.56,99.42,97.77,81.55,34.81,0.294,543,14302,141690,1328,24328,207964,62326,4.66,0.79,36.2,12.64,81.1,86.46,5520000.0,43782.0,9.95,210,248.6,5.5,3165031
SUMATERA UTARA,19.78,99.5,97.35,78.59,30.22,0.306,1075,24662,394193,2709,45871,625135,77837,5.03,1.33,60.1,7.19,85.73,89.66,15470000.0,73575.0,10.18,1253,1181.3,5.05,2499423
SUMATERA BARAT,21.31,99.71,96.8,84.4,42.75,0.287,345,10893,157273,865,18146,204214,35728,4.36,3.45,54.6,5.42,72.82,89.92,5750000.0,57047.0,9.72,308,120.7,5.69,2484041
RIAU,21.79,99.67,95.94,78.49,31.34,0.306,481,12671,179701,1309,21916,269138,35813,3.52,2.2,40.7,6.36,86.32,93.25,6860000.0,165350.0,9.69,600,2042.3,4.12,2888564
JAMBI,20.71,99.61,96.25,71.97,25.85,0.315,252,5991,83894,720,11664,121809,23848,4.51,1.59,34.8,7.26,83.97,89.52,3760000.0,86722.0,9.26,251,45.1,4.48,2630162
SUMATERA SELATAN,23.36,99.39,95.45,70.8,20.11,0.331,620,15475,224907,1463,26314,359282,49303,5.03,1.1,38.2,10.51,82.36,89.91,8890000.0,75132.0,8.98,456,1478.6,3.89,3043111
BENGKULU,20.92,99.51,97.93,79.07,35.13,0.343,153,4406,56495,460,8794,85551,15499,4.62,1.85,33.5,12.52,83.01,88.82,2100000.0,49233.0,9.4,101,76.1,3.24,2213604
LAMPUNG,22.53,99.5,96.07,72.35,22.53,0.301,538,12524,181714,1483,24336,342821,35715,4.57,1.52,34.6,10.62,85.44,88.88,9050000.0,51370.0,8.8,372,220.6,4.07,2432002
KEP. BANGKA BELITUNG,21.26,99.66,93.52,72.69,19.74,0.235,77,1905,33268,238,3903,64771,9500,0.77,2.22,59.7,5.08,94.16,91.16,1520000.0,70194.0,8.78,207,72.5,4.17,3230024
KEP. RIAU,14.52,99.47,98.91,85.56,26.28,0.357,178,3926,59762,424,6558,102428,14349,5.02,4.75,83.8,4.78,91.23,95.98,2180000.0,161424.0,10.65,1753,764.1,6.89,3005460
