Provinsi,PDRB per Kapita,Laju Pertumbuhan Ekonomi,Persentase_NEET_15-24_Tahun_persen_2024,Rata-rata Lama Sekolah (RLS),Persentase Rumah Tangga dengan Akses Internet,Tingkat_Kemiskinan_persen_Maret_2023,Klaster
Aceh,41.42,4.23,28.56,9.95,86.46,14.45,0
Sumatera Utara,68.31,5.01,19.78,10.18,89.66,8.15,0
Sumatera Barat,54.33,4.62,21.31,9.72,89.92,5.95,0
Riau,154.52,4.21,21.79,9.69,93.25,6.68,0
Jambi,79.84,4.67,20.71,9.26,89.52,7.58,0
Sumatera Selatan,71.95,5.08,23.36,8.98,89.91,11.78,0
Bengkulu,46.29,4.28,20.92,9.4,88.82,14.04,0
Lampung,48.19,4.55,22.53,8.8,88.88,11.11,0
Kep. Bangka Belitung,67.89,4.38,21.26,8.78,91.16,4.52,0
DKI Jakarta,322.62,4.96,15.19,11.49,98.08,4.44,2
Jawa Barat,52.65,5.0,23.49,9.24,87.92,7.62,0
Jawa Tengah,45.2,4.97,16.89,8.47,85.61,10.77,0
DI Yogyakarta,48.36,5.07,11.18,10.23,90.18,11.04,0
Jawa Timur,71.12,4.95,17.02,8.69,84.28,10.35,0
Banten,66.15,4.81,23.79,9.55,91.18,6.17,0
Bali,62.29,5.71,13.91,9.87,87.15,4.25,0
Nusa Tenggara Barat,29.93,1.8,20.33,8.5,81.79,13.85,0
Nusa Tenggara Timur,23.08,3.47,19.34,8.48,78.88,19.96,0
Kalimantan Barat,48.81,4.46,20.95,8.28,88.45,6.71,0
Kalimantan Tengah,75.29,4.14,17.72,9.17,88.27,5.11,0
Kalimantan Selatan,63.78,4.84,18.23,9.02,88.45,4.29,0
Kalimantan Timur,215.76,6.22,16.71,10.22,92.98,6.11,2
Kalimantan Utara,201.75,4.94,16.73,9.58,93.76,6.45,2
Sulawesi Utara,64.13,5.48,15.65,10.02,85.86,7.38,0
Sulawesi Tengah,112.46,11.91,20.31,9.28,84.61,12.41,3
Sulawesi Selatan,69.7,4.51,19.82,9.22,89.52,8.7,0
Sulawesi Tenggara,64.09,5.35,20.45,9.74,88.69,11.43,0
Gorontalo,42.35,4.5,18.06,8.64,87.93,15.15,0
Sulawesi Barat,39.53,5.23,20.32,8.56,84.56,11.49,0
Maluku,30.46,5.21,20.01,10.44,82.56,16.42,0
Maluku Utara,63.68,20.49,18.67,9.7,81.88,6.46,3
Papua Barat,108.1,5.18,27.85,9.87,82.05,20.49,0
Papua,78.06,4.22,27.85,10.7,38.71,26.03,1
