Provinsi,Klaster_Final,PDRB per Kapita,Laju Pertumbuhan Ekonomi,Persentase_NEET_15-24_Tahun_persen_2024,Rata-rata Lama Sekolah (RLS),Persentase Rumah Tangga dengan Akses Internet,Tingkat_Kemiskinan_persen_Maret_2023
Aceh,D1: Indonesia Berkembang - Tipe 1,41.42,4.23,28.56,9.95,86.46,14.45
Bali,D2: Indonesia Berkembang - Tipe 2,62.29,5.71,13.91,9.87,87.15,4.25
Banten,D2: Indonesia Berkembang - Tipe 2,66.15,4.81,23.79,9.55,91.18,6.17
Bengkulu,D1: Indonesia Berkembang - Tipe 1,46.29,4.28,20.92,9.4,88.82,14.04
DI Yogyakarta,D2: Indonesia Berkembang - Tipe 2,48.36,5.07,11.18,10.23,90.18,11.04
DKI Jakarta,B: Pusat Ekonomi Mapan,322.62,4.96,15.19,11.49,98.08,4.44
Gorontalo,D1: Indonesia Berkembang - Tipe 1,42.35,4.5,18.06,8.64,87.93,15.15
Jambi,D2: Indonesia Berkembang - Tipe 2,79.84,4.67,20.71,9.26,89.52,7.58
Jawa Barat,D2: Indonesia Berkembang - Tipe 2,52.65,5.0,23.49,9.24,87.92,7.62
Jawa Tengah,D1: Indonesia Berkembang - Tipe 1,45.2,4.97,16.89,8.47,85.61,10.77
Jawa Timur,D1: Indonesia Berkembang - Tipe 1,71.12,4.95,17.02,8.69,84.28,10.35
Kalimantan Barat,D2: Indonesia Berkembang - Tipe 2,48.81,4.46,20.95,8.28,88.45,6.71
Kalimantan Selatan,D2: Indonesia Berkembang - Tipe 2,63.78,4.84,18.23,9.02,88.45,4.29
Kalimantan Tengah,D2: Indonesia Berkembang - Tipe 2,75.29,4.14,17.72,9.17,88.27,5.11
Kalimantan Timur,B: Pusat Ekonomi Mapan,215.76,6.22,16.71,10.22,92.98,6.11
Kalimantan Utara,B: Pusat Ekonomi Mapan,201.75,4.94,16.73,9.58,93.76,6.45
Kep. Bangka Belitung,D2: Indonesia Berkembang - Tipe 2,67.89,4.38,21.26,8.78,91.16,4.52
Kep. Riau,D2: Indonesia Berkembang - Tipe 2,63.730000000000004,4.890000000000001,14.52,9.34,88.45,5.69
Kepulauan Riau,B: Pusat Ekonomi Mapan,154.18,5.16,20.314999999999998,10.65,95.98,8.425
Lampung,D1: Indonesia Berkembang - Tipe 1,48.19,4.55,22.53,8.8,88.88,11.11
Maluku,D1: Indonesia Berkembang - Tipe 1,30.46,5.21,20.01,10.44,82.56,16.42
Maluku Utara,C: Motor Pertumbuhan Baru,63.68,20.49,18.67,9.7,81.88,6.46
Nusa Tenggara Barat,D1: Indonesia Berkembang - Tipe 1,29.93,1.8,20.33,8.5,81.79,13.85
Nusa Tenggara Timur,D1: Indonesia Berkembang - Tipe 1,23.08,3.47,19.34,8.48,78.88,19.96
Papua,A: Tantangan Struktural,78.06,4.22,27.85,10.7,38.71,26.03
Papua Barat,D1: Indonesia Berkembang - Tipe 1,108.1,5.18,27.85,9.87,82.05,20.49
Papua Barat Daya,D2: Indonesia Berkembang - Tipe 2,58.45,1.82,20.314999999999998,10.48,88.45,8.425
Papua Pegunungan,D3: Indonesia Berkembang - Tipe 3,16.87,4.78,20.314999999999998,5.1,88.45,8.425
Papua Selatan,D2: Indonesia Berkembang - Tipe 2,58.68,4.23,23.96,8.99,88.45,8.425
Papua Tengah,D3: Indonesia Berkembang - Tipe 3,10.35,5.95,31.2,6.17,88.45,8.425
Riau,B: Pusat Ekonomi Mapan,154.52,4.21,21.79,9.69,93.25,6.68
Sulawesi Barat,D1: Indonesia Berkembang - Tipe 1,39.53,5.23,20.32,8.56,84.56,11.49
Sulawesi Selatan,D2: Indonesia Berkembang - Tipe 2,69.7,4.51,19.82,9.22,89.52,8.7
Sulawesi Tengah,C: Motor Pertumbuhan Baru,112.46,11.91,20.31,9.28,84.61,12.41
Sulawesi Tenggara,D2: Indonesia Berkembang - Tipe 2,64.09,5.35,20.45,9.74,88.69,11.43
Sulawesi Utara,D2: Indonesia Berkembang - Tipe 2,64.13,5.48,15.65,10.02,85.86,7.38
Sumatera Barat,D2: Indonesia Berkembang - Tipe 2,54.33,4.62,21.31,9.72,89.92,5.95
Sumatera Selatan,D2: Indonesia Berkembang - Tipe 2,71.95,5.08,23.36,8.98,89.91,11.78
Sumatera Utara,D2: Indonesia Berkembang - Tipe 2,68.31,5.01,19.78,10.18,89.66,8.15
